No,E,N,ndsm,ndvi,class6
370,537182.667,5228970.517,5.51,-0.154811715,b
371,537182.701,5228970.629,5.54,-0.136752137,b
372,537182.735,5228970.74,5.55,-0.127753304,b
373,537182.77,5228970.851,5.57,-0.110132159,b
374,537181.074,5228969.301,4.92,-0.167315175,b
375,537181.108,5228969.412,4.98,-0.201550388,b
376,537181.142,5228969.524,5.01,-0.169491525,b
377,537181.176,5228969.635,5.03,-0.157024793,b
378,537181.211,5228969.746,5.05,-0.198380567,b
379,537181.117,5228969.044,4.87,-0.179916318,b
380,537181.245,5228969.858,5.09,-0.115044248,b
381,537181.151,5228969.155,4.88,-0.160714286,b
382,537181.279,5228969.969,5.16,-0.176954733,b
383,537181.314,5228970.08,5.2,-0.20661157,b
384,537181.348,5228970.192,5.24,-0.18061674,b
385,537147.636,5228952.529,7.51,-0.161616162,b
386,537143.868,5228952.957,6.59,-0.187817259,b
387,537147.671,5228952.64,7.48,-0.109756098,b
388,537147.705,5228952.751,7.41,-0.137254902,b
389,537143.902,5228953.068,6.7,-0.208121827,b
390,537147.739,5228952.863,7.32,-0.123287671,b
391,537147.773,5228952.974,7.26,-0.137254902,b
392,537143.936,5228953.18,6.8,-0.195979899,b
393,537147.808,5228953.085,7.07,-0.11409396,b
394,537147.842,5228953.197,6.78,-0.142857143,b
395,537143.97,5228953.291,6.9,-0.197969543,b
396,537147.876,5228953.308,6.69,-0.121621622,b
397,537147.91,5228953.42,6.64,-0.142857143,b
398,537142.814,5228953.89,6.92,-0.21,b
399,537142.848,5228954.002,7.02,-0.202072539,b
400,537148.647,5228951.852,7.42,-0.197916667,b
401,537142.883,5228954.113,7.13,-0.202020202,b
402,537142.917,5228954.224,7.24,-0.21182266,b
403,537142.951,5228954.336,7.35,-0.216080402,b
404,537142.985,5228954.447,7.44,-0.187165775,b
405,537143.02,5228954.558,7.49,-0.174603175,b
406,537143.054,5228954.67,7.49,-0.156069364,b
407,537143.088,5228954.781,7.44,-0.092105263,b
408,537143.122,5228954.893,7.34,-0.116883117,b
409,537147.456,5228952.34,7.42,-0.208121827,b
410,537143.157,5228955.004,7.23,-0.125827815,b
411,537147.491,5228952.452,7.47,-0.177083333,b
412,537147.525,5228952.563,7.49,-0.206521739,b
413,537143.191,5228955.115,7.12,-0.131578947,b
414,537147.559,5228952.674,7.46,-0.139393939,b
415,537147.593,5228952.786,7.42,-0.12,b
416,537143.225,5228955.227,7.05,-0.075862069,b
417,537147.628,5228952.897,7.35,-0.139072848,b
418,537147.662,5228953.008,7.35,-0.123287671,b
419,537143.259,5228955.338,6.94,-0.133333333,b
420,537147.696,5228953.12,7.34,-0.111111111,b
421,537147.73,5228953.231,6.99,-0.152317881,b
422,537147.765,5228953.342,6.75,-0.097222222,b
423,537143.294,5228955.449,6.82,-0.111111111,b
424,537147.799,5228953.454,6.7,-0.171052632,b
425,537147.833,5228953.565,6.63,-0.118421053,b
426,537143.328,5228955.561,6.69,-0.109589041,b
427,537148.536,5228951.886,7.42,-0.1875,b
428,537143.362,5228955.672,6.6,-0.121621622,b
429,537143.396,5228955.783,6.5,-0.125,b
430,537143.688,5228952.768,6.37,-0.202020202,b
431,537147.345,5228952.375,7.44,-0.212121212,b
432,537143.722,5228952.88,6.46,-0.195876289,b
433,537147.379,5228952.486,7.49,-0.179487179,b
434,537147.414,5228952.597,7.51,-0.162561576,b
435,537143.756,5228952.991,6.56,-0.183673469,b
436,537147.448,5228952.709,7.49,-0.151162791,b
437,537147.482,5228952.82,7.44,-0.124183007,b
438,537143.791,5228953.102,6.66,-0.21,b
439,537147.516,5228952.931,7.36,-0.100671141,b
440,537147.551,5228953.043,7.33,-0.109589041,b
441,537143.825,5228953.214,6.77,-0.195979899,b
442,537147.585,5228953.154,7.24,-0.14893617,b
443,537147.619,5228953.265,7.01,-0.121621622,b
444,537143.859,5228953.325,6.86,-0.183673469,b
445,537147.653,5228953.377,6.81,-0.117241379,b
446,537147.688,5228953.488,6.73,-0.121621622,b
447,537147.722,5228953.599,6.66,-0.211428571,b
448,537148.424,5228951.921,7.43,-0.173469388,b
449,537147.756,5228953.711,6.58,-0.127516779,b
450,537147.234,5228952.409,7.42,-0.198019802,b
451,537147.268,5228952.52,7.49,-0.183673469,b
452,537147.302,5228952.632,7.52,-0.175257732,b
453,537147.336,5228952.743,7.5,-0.166666667,b
454,537147.371,5228952.854,7.43,-0.142857143,b
455,537147.405,5228952.966,7.35,-0.118421053,b
456,537147.439,5228953.077,7.27,-0.11409396,b
457,537147.474,5228953.188,7.15,-0.138888889,b
458,537147.508,5228953.3,7,-0.136986301,b
459,537147.542,5228953.411,6.87,-0.121621622,b
460,537147.576,5228953.522,6.74,-0.123287671,b
461,537147.611,5228953.634,6.62,-0.109589041,b
462,537148.313,5228951.955,7.36,-0.216494845,b
463,537147.645,5228953.745,6.53,-0.1,b
464,537147.679,5228953.856,6.42,-0.115646259,b
465,537142.137,5228956.049,6.78,-0.129251701,b
466,537147.122,5228952.443,7.38,-0.225490196,b
467,537147.157,5228952.554,7.44,-0.197969543,b
468,537146.009,5228952.786,7.3,-0.192118227,b
469,537147.191,5228952.666,7.48,-0.18556701,b
470,537146.043,5228952.897,7.38,-0.209756098,b
471,537147.225,5228952.777,7.48,-0.166666667,b
472,537146.077,5228953.008,7.47,-0.185929648,b
473,537147.259,5228952.888,7.43,-0.112582781,b
474,537146.112,5228953.12,7.56,-0.178217822,b
475,537147.294,5228953,7.33,-0.135483871,b
476,537146.146,5228953.231,7.59,-0.204188482,b
477,537147.328,5228953.111,7.24,-0.108108108,b
478,537146.18,5228953.342,7.54,-0.103448276,b
479,537147.362,5228953.223,7.11,-0.136986301,b
480,537146.214,5228953.454,7.35,-0.133333333,b
481,537147.396,5228953.334,7.02,-0.095890411,b
482,537146.249,5228953.565,7.16,-0.125,b
483,537147.431,5228953.445,6.91,-0.123287671,b
484,537146.283,5228953.676,7.01,-0.106666667,b
485,537147.465,5228953.557,6.75,-0.118881119,b
486,537146.317,5228953.788,6.93,-0.15862069,b
487,537147.499,5228953.668,6.64,-0.111111111,b
488,537146.351,5228953.899,6.86,-0.075862069,b
489,537147.533,5228953.779,6.55,-0.118881119,b
490,537146.386,5228954.01,6.79,-0.09352518,b
491,537147.568,5228953.891,6.45,-0.115646259,b
492,537146.42,5228954.122,6.71,-0.123287671,b
493,537147.602,5228954.002,6.35,-0.103448276,b
494,537146.454,5228954.233,6.61,-0.095890411,b
495,537146.488,5228954.344,6.49,-0.095890411,b
496,537146.523,5228954.456,6.33,-0.150326797,b
497,537146.557,5228954.567,6.21,-0.109589041,b
498,537146.591,5228954.679,6.13,-0.131034483,b
499,537146.625,5228954.79,6.07,-0.137254902,b
500,537146.66,5228954.901,6.03,-0.137254902,b
501,537146.694,5228955.013,5.98,-0.075862069,b
502,537146.728,5228955.124,5.91,-0.113924051,b
503,537146.762,5228955.235,5.87,-0.135135135,b
504,537147.011,5228952.477,7.33,-0.222222222,b
505,537147.045,5228952.589,7.4,-0.187165775,b
506,537147.08,5228952.7,7.45,-0.172774869,b
507,537145.898,5228952.82,7.32,-0.18974359,b
508,537147.114,5228952.811,7.47,-0.112426036,b
509,537145.932,5228952.931,7.41,-0.19,b
510,537147.148,5228952.923,7.44,-0.131578947,b
511,537145.966,5228953.043,7.49,-0.202020202,b
512,537147.182,5228953.034,7.35,-0.135483871,b
513,537146,5228953.154,7.55,-0.216080402,b
514,537147.217,5228953.145,7.24,-0.135135135,b
515,537146.035,5228953.265,7.6,-0.243243243,b
516,537147.251,5228953.257,7.13,-0.106666667,b
517,537146.069,5228953.377,7.56,-0.103448276,b
518,537147.285,5228953.368,7.02,-0.131034483,b
519,537146.103,5228953.488,7.38,-0.118421053,b
520,537147.319,5228953.479,6.92,-0.140939597,b
521,537146.137,5228953.599,7.19,-0.115646259,b
522,537147.354,5228953.591,6.83,-0.125,b
523,537146.172,5228953.711,7.03,-0.133333333,b
524,537147.388,5228953.702,6.75,-0.109589041,b
525,537146.206,5228953.822,6.96,-0.155844156,b
526,537147.422,5228953.814,6.62,-0.115646259,b
527,537146.24,5228953.933,6.89,-0.164556962,b
528,537147.456,5228953.925,6.51,-0.109589041,b
529,537146.274,5228954.045,6.83,-0.102040816,b
530,537147.491,5228954.036,6.41,-0.123287671,b
531,537146.309,5228954.156,6.73,-0.103448276,b
532,537147.525,5228954.148,6.48,-0.127516779,b
533,537146.343,5228954.267,6.64,-0.120567376,b
534,537146.377,5228954.379,6.53,-0.098591549,b
535,537146.411,5228954.49,6.35,-0.123287671,b
536,537146.446,5228954.601,6.2,-0.133333333,b
